name,phone,website,city,fsa,province
Frizzell Paul,902-324-3001,,Truro,B2N,NS
KLC Plumbing,902-830-7095,,Dartmouth,B2W,NS
Halifax Plumbers,902-463-9575,,Halifax,B3K,NS
Cortech Plumbing,902-830-5689,,Halifax,B3M,NS
Big Boy Mechanical,902-863-8788,,Antigonish,B2G,NS
Campbell Corning Mechanical,902-740-4641,,Yarmouth,B5A,NS
Andy Fotis Plumbing&Heating,902-422-6705,http://www.facebook.com/1077432062320080,Halifax,B3H,NS
McNair Mechanical Ltd,902-209-1755,http://www.facebook.com/1734331486789627,Lower Sackville,B4C,NS
CJ's Plumbing,902-538-0473,http://cjsplumbingheating.com/,Berwick,B0P,NS
Fox Whole Plumbing,902-448-2283,,Halifax,B3P,NS
Tiny Angels Early Education,902-835-2333,http://www.facebook.com/1305409579495275,Bedford,B4A,NS
Public Drain Authority,902-982-3963,,Halifax,B3L,NS
A Christmas Plumbing,902-304-1090,,Sydney,B1P,NS
Tartan Mechanical Limited,902-818-7660,,Dartmouth,B2W,NS
Rick's Plumbing,902-883-8203,,Elmsdale,B2S,NS
Doire Plumbing Service,902-870-1955,,Antigonish,B2G,NS
Bayside Plumbing&Heating Ltd,902-565-5412,,Sydney,B1R,NS
Plumb 'N Time,902-789-9488,,Lower Sackville,B4C,NS
Paul Richards Plumbing,902-895-0175,,Truro,B2N,NS
Cove Lobster Ltd,902-637-2072,,Cape Sable Island,B0W,NS
Cdm's Plumbing,902-670-2978,,Kentville,B4N,NS
Valley Fuels Ltd,902-542-5203,,Wolfville,B4P,NS
All Trades Plumbing,902-270-2409,,Sydney,B1P,NS
Blakeney's Plumbing,902-667-0370,,Amherst,B4H,NS
Reliable Rooter Ltd,902-670-3664,,Kentville,B4N,NS
Brown&Murphy Services Ltd,902-825-4762,,Middleton,B0S,NS
Matt's Plumbing,902-818-9114,,Dartmouth,B2V,NS
Female Plumbers Timberlea,902-880-8485,,Timberlea,B3T,NS
Rick's Plumbing,902-204-4602,,Windsor,B0N,NS
Certified Journeyman Plumbing,902-488-3967,,Halifax,B3L,NS
Reid's Plumbing,902-301-4909,,New Glasgow,B2H,NS
Red Seal Plumbing,902-220-3862,,Halifax,B3K,NS
Sundog Plumbing & Heating,902-549-0219,http://sundogplumbing.wixsite.com/website,Sydney Mines,B1V,NS
Jodrey Dalton Plumbing&Heating Ltd,902-543-5501,,Pleasantville,B0R,NS
Brown's Plumbing&Burner Service,902-834-2898,,Tiverton,B0V,NS
Bayview Plumbing & Heating,902-893-8447,,Truro,B2N,NS
Connor Plumbing & Heating,902-497-1159,https://www.facebook.com/Connor-Plumbing-Heating-400863906730526/,Halifax,B3M,NS
Edgecombe Plumbing And Heating,902-790-1160,,Windsor,B0N,NS
Farrell's Plumbing&Heating Ltd,902-863-2609,,Antigonish,B2G,NS
Small Jobs Plumbing Inc,902-252-0461,,Beaver Bank,B4G,NS
Faster Plumbing & Heating,902-488-4094,,Dartmouth,B2W,NS
Problem Solved Tree Service,902-717-2030,,Dartmouth,B2W,NS
Kedy's Plumbing Ltd,902-483-7772,,Bedford,B4A,NS
Coastal Plumbing & Heating,902-457-1611,,Halifax,B3M,NS
A&G Plumbing and Heating,902-789-2947,,Halifax,B3L,NS
Lakelands Plumbing And Heating,902-830-7161,,Mount Uniacke,B0N,NS
J. Lee Mechanical Inc,902-476-5710,,Halifax,B3R,NS
Malcom's Plumbing Service,902-880-7997,,Halifax,B3L,NS
Amherst Plumbing & Drains,902-667-9686,,Amherst,B4H,NS
Rollie Plumbing & Heating,902-471-2340,,Halifax,B3P,NS
Red Seal Master Plumber,902-220-4460,,Halifax,B3K,NS
Certified Red Seal Plumber,902-880-1106,,Halifax,B3L,NS
Aim Pumps & Filtration,902-433-0010,,Dartmouth,B2V,NS
Beechville Plumbing & Heating,902-877-3941,,Beechville,B3T,NS
Shearwater Plumbing & Heating,902-412-7210,,Shearwater,B0J,NS
A&N Plumbing and Drain,902-717-1799,,Dartmouth,B2X,NS
C&M Plumbing & Heating,902-562-7510,,Sydney,B1P,NS
Sierra Electric and Plumbing,902-489-8778,,Halifax,B3M,NS
Winmill R H Electric Ltd,902-351-2660,http://riverjohnheatpump.com/,River John,B0K,NS
Pettis Plumbing & Drain Cleaning,902-895-3481,http://www.pettisplumbing.ca/,Valley,B6L,NS
Palmer Plumbing and Heating Ltd,902-538-7468,http://palmer-plumbing-heating-ltd.business.site/,Berwick,B0P,NS
Brad Isles Plumbing & Heating,902-247-5543,,Digby,B0V,NS
Stone's Plumbing & Heating,902-802-8667,http://www.stonesplumbing.ca/,Dartmouth,B2W,NS
Messenger Mechanical & Sheet Metal,902-742-2099,,Yarmouth,B5A,NS
Beav's Plumbing & Heating,902-471-0333,https://beavsplumbing.com/,Lower Sackville,B4C,NS
Joel Scott Plumbing & Heating,902-788-1793,,Yarmouth,B5A,NS
Rollie's Plumbing & Heating,902-477-0414,http://www.facebook.com/1727567610795035,Halifax,B3K,NS
Ben's Plumbing And Heating,902-401-9545,http://www.fresh-clean-ducts.com/,Dartmouth,B2V,NS
Evangeline Plumbing & Heating Ltd,902-542-5596,,Wolfville,B0P,NS
Carey R G Plumbing Doctor,902-678-7969,http://www.pentairprodealer.com/,Kentville,B4N,NS
Chester Electrical Plumbing & Heating,902-275-3737,,Chester,B0J,NS
South Shore Plumbing & Heating,902-275-4678,https://www.facebook.com/southshoreheatingcooling,Chester,B0J,NS
Walker's Plumbing & Heating,902-667-6113,,Amherst,B4H,NS
No Problem Plumbing & Electrical,902-685-2877,,New Germany,B0R,NS
Niagara Plumbing & Heating Ltd,902-827-3485,http://www.facebook.com/1042265762497242,Head of Chezzetcook,B0J,NS
Steven Schofield Plumbing & Heating,902-848-1258,,Wolfville,B4P,NS
Clan Henderson Plumbing & Heating,902-956-0352,,Truro,B2N,NS
Adam's Plumbing & Heating,902-856-2086,,Yarmouth,B5A,NS
Robert MacLean Plumbing & Heating,902-755-6112,,New Glasgow,B2H,NS
North End Plumbing & Heating,902-210-5715,,Halifax,B3K,NS
Natasha & Scott's Plumbing,902-272-2047,,Yarmouth,B5A,NS
Donald Carpenter Plumbing & Heating,902-740-3762,,Yarmouth,B5A,NS
William McKay Heating & Plumbing,902-755-6544,,New Glasgow,B2H,NS
Mark Ells Plumbing & Heating,902-754-9266,,New Glasgow,B2H,NS
Bailey's Plumbing & Heating,902-830-8854,,Bedford,B4A,NS
Ernst Wechsler Plumbing Services Ltd,902-456-9211,,Halifax,B3L,NS
Gary MacArthur Plumbing & Heating,902-485-4755,,Pictou,B0K,NS
Mark Ells Plumbing & Heating,902-485-9266,,Pictou,B0K,NS
Big Guy - Plumbing & Heating,902-449-1232,,Halifax,B3L,NS
Austin LaPierre Plumbing & Heating,902-802-2177,,Lower Sackville,B4C,NS
Patton's Plumbing & Heating,902-897-8363,,Truro,B2N,NS
Bushen Kevin Plumbing & Heating,902-530-2629,,Bridgewater,B4V,NS
Andy's Plumbing & Heating,902-830-3423,,Halifax,B3L,NS
Pictou County Plumbing Repair Service,902-695-5789,,New Glasgow,B2H,NS
Justin's Plumbing & Maintenance,902-830-8706,,Dartmouth,B2W,NS
McInnes Hugh Plumbing & Heating,902-458-8693,,Halifax,B3K,NS
Evia Plumbing & Heating Ltd,902-452-5716,,Halifax,B3P,NS
Alex's Plumbing & Electrical,902-209-4195,,Bedford,B4A,NS
MH Plumbing & Heating Inc,902-219-2191,,Dartmouth,B2V,NS
Paddock's Plumbing & Heating Inc,902-866-0141,http://www.facebook.com/548511678834630,Mount Uniacke,B0N,NS
J K V Plumbing & Heating,902-229-3431,,Halifax,B3M,NS
Dickie's Plumbing Heating & Water,902-350-2013,,Liverpool,B0T,NS
Barney's Plumbing Heating and Gas,902-448-0910,http://barneysplumbing.ca/,Halifax,B3R,NS
Ian Tate Plumbing & Heating Ltd,902-968-1616,,Antigonish,B2G,NS
McPhee's Plumbing&Heating Ltd,902-849-6532,,Glace Bay,B1A,NS
P W Plumbing & Heating Ltd,902-667-2473,http://pwplumbingandheating.co.uk/,Amherst,B4H,NS
Michael A Josey Building Services Ltd,902-462-2118,http://www.facebook.com/198706740690087,Dartmouth,B2V,NS
Andrew Selig's Plumbing & Heating,902-530-5227,,Bridgewater,B4V,NS
Edgecombe's Plumbing & Heating Ltd,902-798-5652,,Windsor,B0N,NS
Duke's Plumbing & Heating Services,902-877-4891,,Dartmouth,B2W,NS
Campbell's Plumbing and Heating Ltd,902-432-9148,,Sydney,B1P,NS
New Waterford Consolidated Hospital Diabetic Education,902-592-3327,,New Waterford,B1H,NS
Pettipas Heat Pump & Plumbing Service,902-471-0068,,Halifax,B3R,NS
R F Welsh Plumbing & Heating,902-454-4000,,Halifax,B3K,NS
Leaky Lou's Plumbing and Heating,902-837-5551,,Weymouth,B0W,NS
Jay's Chimney Sweep & Plumbing,902-599-2637,,Kentville,B4N,NS
C & M Plumbing & Heating,902-578-8889,,Sydney,B1P,NS
Dillman M W Plumbing (2000) Ltd,902-384-2656,,Musquodoboit Harbour,B0J,NS
Parsons & Sons Plumbing & Heating,902-864-9188,,Lower Sackville,B4C,NS
K P's Plumbing And Heating,902-538-9891,,Berwick,B0P,NS
Bray's Plumbing & Heating Ltd,902-863-2681,,Antigonish,B2G,NS
Trevor Whynot's Plumbing & Heating,902-677-2888,,Bridgewater,B4V,NS
Ellis O Wile & Son Ltd,902-543-3908,https://www.facebook.com/Ellis-O-Wile-Son-1987-Ltd-119969906505659/,Bridgewater,B4V,NS
J D Nelson Plumbing & Heating Ltd,902-899-5993,,Truro,B2N,NS
St Margaret's Bay Plumbing & Heating,902-823-3206,,Tantallon,B0J,NS
Paul The Plumber Plumbing & Heating Solutions,902-499-2393,,Halifax,B3L,NS
B A S S Plumbing & Heating,902-691-1124,,Kentville,B4N,NS
Boudreau's Pat Plumbing & Heating Ltd,902-678-8296,,Kentville,B4N,NS
New Waterford Consolidated Hospital Patient Rooms Only,902-862-7121,,New Waterford,B1H,NS
A.R. Langille's Plumbing And Heating,902-897-4432,,Truro,B2N,NS
Two Brother Plumbing & Heat Pump Installation,902-456-4592,,Halifax,B3M,NS
Baxter G C Plumbing & Heating Ltd,902-538-7474,,Berwick,B0P,NS
New Waterford Consolidated Hospital Mental Health Services Physiotherapy,902-592-3323,,New Waterford,B1H,NS
MacDonell's Small Jobs Renovations Plumbing & Mi ni Excavting,902-362-2837,,Yarmouth,B5A,NS
Aqualab Plumbing Services,902-681-3411,http://www.aqualabplumbingservices.com/,Kentville,B4N,NS
ProTech Renos,902-499-9908,,Halifax,B3L,NS
LMB Plumbing and Heating Inc,902-497-3393,https://www.lmbplumbingandheating.com/,Halifax,B3L,NS
CCR Plumbing & Heating,902-599-1320,https://www.facebook.com/profile.php?id=100064107940731,Kentville,B4N,NS
Mike Bourque's Plumbing & Heating Services,902-307-1001,http://mikebourquesplumbingandheating.ca/,Yarmouth,B5A,NS
Darrin Rix Plumbing & Heating,902-580-3556,https://www.facebook.com/rixplumbinghalifax/,Lawrencetown,B2Z,NS
Those Guys Plumbing & Electrical,902-754-3301,https://www.facebook.com/ThoseGuysPE/,New Glasgow,B2H,NS
DG Plumbing and Heating,902-495-9326,http://www.facebook.com/118718928687869,Halifax,B3K,NS
Falcon Plumbing & Heating,902-305-4501,,Truro,B2N,NS
EDC Plumbing & Gas Services,902-318-1487,,Antigonish,B2G,NS
Riverfront Contractors Limited,902-258-2037,,Inverness,B0E,NS
Drummond's Plumbing & Heating Ltd,902-488-0268,,Halifax,B3L,NS
Pothier Plumbing & Heating,902-403-3774,,Halifax,B3P,NS
Otter Plumbing and Heating,902-657-3390,,Tatamagouche,B0K,NS
Bickerton's Plumbing & Heating,902-669-0566,,Amherst,B4H,NS
B.A.S.S Plumbing & Heating,902-691-2354,,Kentville,B4N,NS
K M Best Plumbing & Heating Ltd,902-678-4555,,Kentville,B4N,NS
True Flow Plumbing Solutions,902-814-9630,,Truro,B0N,NS
Plumbing Ursule,902-880-8270,,Halifax,B3L,NS
TR Plumbing and Renovations,902-441-6566,,Halifax,B3K,NS
Maple Leaf Plumbing,902-830-3576,,Halifax,B3M,NS
Island Wide Plumbing & Heating LTD.,902-322-0216,,Sydney Mines,B1V,NS
A1 Plumbing & Heating,902-385-9449,,Halifax,B3L,NS
King Fix Plumbing,902-830-1078,,Halifax,B3K,NS
Ellis O Wile & Son (87) Ltd,902-543-3908,,Bridgewater,B4V,NS
Certified Plumbers,902-431-2356,,Halifax,B3K,NS
Classic Plumbing & Heating Limited,902-832-9293,,Bedford,B4A,NS
Gould W M Plumbing & Heating,902-538-9268,,Berwick,B0P,NS
Down The Drain Plumbing,902-789-3127,,Dartmouth,B2W,NS
Mechanical Flood Protection,902-397-4938,https://www.mechanicalfloodprotection.com/,Dartmouth,B2Y,NS
ZMP Plumbing & Excavation,902-957-3422,https://ZMPPLUMBING.COM/,Truro,B2N,NS
Drainbusters,902-830-8743,http://drainbustersns.com/,Dartmouth,B2X,NS
R&M Plumbing LTD,902-877-8525,https://rmplumbingltd.ca/,Dartmouth,B2X,NS
"Bird Stairs (Halifax) - Plumbing, Heating & Elec trical",902-455-1663,,Halifax,B3K,NS
Oceanside Plumbing Inc,902-277-0753,,Chester,B0J,NS
Blades and Son Electrical and Plumbing,902-742-8518,,Yarmouth,B5A,NS
Mainline Plumbing And Heating,902-483-1389,,Halifax,B3P,NS
Plumber for hire,902-790-3650,,Windsor,B0N,NS
Burtch Plumbing,782-414-5178,,Beaver Bank,B4G,NS
DBI plumbing and heating,902-549-0380,,Sydney Mines,B1V,NS
East Coast Plumbing Solutions,902-222-0794,,Dartmouth,B2X,NS
Fix Her Up Plumbing & Cleaning,902-448-8489,,Dartmouth,B2W,NS
Plumbing Services,902-809-9316,,Halifax,B3L,NS
Palmer Plumbing & Construction,902-957-3422,,Truro,B2N,NS
Unlocke Pipe Services,902-814-7495,,Truro,B2N,NS
RA Mechanical,902-872-3330,,Kentville,B4N,NS
Plumber/Pipefitter for hire,902-401-1744,,Halifax,B3K,NS
Bedford Plumbing And Heating Ltd,902-835-5106,,Bedford,B4A,NS
Bonins Plumbing,902-476-4191,,Halifax,B3R,NS
Plumber Cole Harbour,902-717-4705,,Dartmouth,B2V,NS
Charlie's Plumbing and Bath,902-305-6494,,Truro,B2N,NS
Cape Breton Plumber,902-932-7209,,Sydney,B1P,NS
Justin Tyme Plumbing,902-824-4722,,Middleton,B0S,NS
Mathews Plumbing,902-680-8948,,Kentville,B4N,NS
High Country Mechanical,902-956-1669,,Truro,B2N,NS
ClarTell Plumbing & Heating,902-577-6726,,Sydney Mines,B1V,NS
Tri-Quest,902-332-3380,,WESTVILLE,B0K,NS
England Plumbing,902-223-6650,,Halifax,B3L,NS
Reg Plumbing & Heating,902-545-2260,,Amherst,B4H,NS
Clear Pipe Mechanical Limited,902-701-0300,,Halifax,B3H,NS
Cove Plumbing & Heating,902-579-5376,,Sydney Mines,B1V,NS
Red seal plumber,902-790-6683,,Windsor,B0N,NS
Jr's Plumbing Heating Limited,902-468-3002,,Bedford,B4A,NS
Steven Plummer's Plumbing,902-354-4204,,Liverpool,B0T,NS
Fletcher R & S Plumbing & Heating Ltd,902-798-6125,,Windsor,B0N,NS
Prime Plumbing & Heating Inc.,902-402-7312,,Dartmouth,B2W,NS
RT Plumbing,902-220-1956,,Halifax,B3L,NS
PLUMBING SERVICES,902-210-2507,,Halifax,B3M,NS
Accent plumbing and heating,902-701-9307,,Beaver Bank,B4G,NS
Joe Rolfe Plumber,782-882-7807,,Lower Sackville,B4C,NS
Bear Mechanical Plumbing & Heating Ltd.,902-293-2766,,Herring Cove,B3R,NS
Matts Plumbing Services,902-877-5326,,Halifax,B3L,NS
TGN Plumbing And Heating,902-225-5823,,Dartmouth,B2W,NS
Hydronicks Plumbing & Heating,902-880-1584,,Dartmouth,B2V,NS
Lu's Plumbing,506-476-8653,,Shubenacadie,B0N,NS
M & M Plumbing & Heating Ltd,902-678-1585,,Kentville,B4N,NS
Nordview Plumbing,902-599-2545,,Kentville,B4N,NS
David Carey Plumbing And Heating,902-678-1477,,Kentville,B4N,NS
RoyCo Plumbing,902-875-7830,,Shelburne,B0T,NS
Green Gasfitting,902-789-7715,,Shubenacadie,B0N,NS
Lighthouse Plumbing Ltd,902-986-3073,,Truro,B2N,NS
